제목,요약
날 닮은 아이 [독점]," ‘당신의 아이가 태어났어. 당신은 모르는 당신의 아이가.......’ 청혼을 앞두고 사랑하는 여자에 대한 기억을 잃은 남자, 정지헌. 그에게 실연당했다고 여길 수밖에 없었던 여자, 이정오. 두 사람이 7년 만에 다시 만난다. 그리고 다시 시작된, 남자의 뜨거운 집착. “옆에 둬야죠. 절대 안 놔주지.” 본능은 기억보다 정확하지만 그는 아직 모른다. 그녀에게 두 사.."
그 밤보다 더한 짓 [독점][외전 추가]," “들려? 당신 몸은 천천히 할 마음이 없어 보이는데?”기어이 내 지옥에 들어와 옆에 있겠다는 여자를 받아들인 게 실수였다.“그러니까 소리 내. 여긴 이렇게 소리를 잘 내면서... 여기만 이렇게 꾹 다물고 있으면 쓰나.”그녀를 마주할 때마다 모든 말초신경이 곤두서고, 극도로 예민해진 감각이 그녀에게 반응했다.이 상황이 말도 안 되고, 이해도 가지 않았지만, 그녀.."
임파스토(Impasto) [선공개]," “서은기. 그림 좋아해?”은기는 혼란스러웠다.둘러댄 이름으로도 바래지 않는 존재감과볼품없는 차림으로도 가려지지 않는 여유.남자는 분명 저와는 이만큼의 접점도 없는 사람이었다.그런데 하필이면 그림을,그녀가 가장 숨기고 싶었던 그것을그는 가장 스스럼없이 파헤쳐 버렸다.“...그런 거 관심 없는데요.”“이상하네. 그림 좋아하게 생겼는데.”그때만 해도 은기는 몰랐다..."
뜨겁게 맞닿은 [독점]," “형한테 그랬다며. 원하는 아내상이 되어 주겠다고.”차가운 겨울바람처럼 남자는 예고 없이 문을 열고 들어왔다.“나한테도 그래 줄 수 있나? 말 잘 듣는 아내, 벗으라면 벗고 입 다물라고 하면 다물고.”차갑고 싸늘한 시선이 말하는 내내 시선을 마주쳐왔다. 그리고 안주머니에서 꺼낸 작은 명함과 수표 몇 장이 쉽게 떠밀려 테이블 위로 올라왔다.“시키는 대로만 해.."
파훼 [독점]," “네가 나한테 줄 수 있는 게 뭐가 있을까 생각 중이야.”천상천하 유아독존.사현의 후계자로 단 한 번도 실패한 적도, 부족했던 적도 없는 황태자 강지한엄마의 목숨을 살리기 위해 어쩔 수 없이 친부를 찾았고, 그들의 뜻에 따라 정략결혼을 한 장도경.어머니의 병원비를 적선하듯 받는 대가로 한 결혼은 도경에게 모든 순간이 불행이었다.육체적 관계는 맺지만 남편 강.."
나쁜 하룻밤 [선공개]," “잊을 리가 없지. 아이의 아빠를 잊을 엄마는 세상에 없으니까.”태준을 마주하는 것만으로 눈시울이 달아오르며 복잡한 감정이 치밀었다.그를 아직도 사랑한다는 걸, 서하는 인정할 수밖에 없었다.“아이 아빠라니, 무슨 이야기를 하는지 모르겠네요.”태준은 여동생의 남자였다.끔찍한 지옥으로 돌아갈 수 없기에,뒷걸음질 치며 그를 외면한다.“모른 척하시겠다?”“도하는 .."
위험한 사내연애," 과거에 원나잇 했던 남자를 직장 상사로 다시 마주하다!그것도 모자라 이웃사촌에! 남동생의 대학 선배라니.......-작품 속으로-“왜 그렇게 봐?”현우는 셔츠를 벗어 던진 후 거칠게 머리를 쓸어 올렸다.“그렇게 보니 미칠 거 같은데.”은은한 조명이 그의 머리 위에 가득했다. 날렵한 턱선과 오뚝한 코, 짙은 눈썹. 빠져들 것 같은 눈동자와 시원한 눈매. 거기다 고집.."
남사친과 실수는 추천하지 않습니다 [독점]," 모든것이 완벽해 보이는 내 친구. 같은 산부인과 출신, 같은 유치원, 초등학교, 중학교, 고등학교까지 함께 보낸 그놈. 그놈과 실수로 하룻밤을 보냈다.“너.... 네가 왜 여기 있어?” 그날 이후, 29년 우정이 크게 흔들렸다.""진지하게 생각해봐."" 한발짝 내딛는 지서준과 혼란스러운 문다율. 이 사랑, 순탄치만은 않다."
수상한 한 전무의 사생활," 아찔한 하우스 메이트의 수상한 정체! “후배님이 왜 거기서 나와...?!”어디까지나 주거비 절감 차원에서 맺어진건.전.한 동거 계약이었다.그런데...왜 저 녀석이 전무 자리에 앉아있는 건데!도르르르 머리 굴러가는 소리가채 멎기도 전에 핵폭탄급 멘트가 연이어 날라온다.“우리, 이혼합시다.”“네?! 결혼도 안 한 사이에 무슨!”“그게 필요하면 그것부터 하고.”“에?!.."
"이리, 온 [선공개]"," “저와 약혼해 주셔야겠어요.”검푸른 밤바다를 제 눈 위에 옮겨 놓은 듯한 여자가 말했다. “오래 끌 마음은 없어요. 길면 6개월, 짧으면 3개월. 그 정도면 돼요.”까맣고 무심한 눈으로 멋없는 프러포즈를 하더니,“앞으로 내 옆에선 예쁘게 입고 웃는 게 좋겠어요. 사랑에 빠진 남자처럼.”겁도 없이 발칙한 말을 내던진다.재하가 가벼이 웃었다. 퍽 다정하게.“원.."
