제목,요약
효명세자와 함께하는 조선 생활," 1829년, 조선이 머나먼 동방에서 시대의 흐름에 벗어나 있을 무렵.두 명의 대학원생이 조선에 트립한다.""해볼 때까지는 해봐야지. 주저앉아서 죽을 순 없지.""이대로 주저앉아 망국의 길을 걸을 것인가.찬란한 미래를 누릴 것인가,역사학과 대학원생과 화학과 대학원생의유쾌한 조선 생활이 시작된다.[효명세자와 함께하는 조선 생활]"
망나니 1왕자가 되었다," 검으로 환생해 수백년을 살다, 덜컥 열다섯 망나니 왕자의 몸을 차지하게 되었다."
문과라도 안 죄송한 이세계로 감," 망해가는 출판사의 편집자 김정진은 소설 속으로 가  갑부집의 무능한 막내아들에게 빙의한다. 직장인의 꿈, 돈많은 백수가 되나 했더니... '왜이렇게 능력치를 높게 줬어! 백수도 못 하게!'"
마왕으로 살아남는 법 [독점]," 100명의 지구인을 소환해 용사로 키워 마왕을 막는 세상.“야, 대박! 나 A급 적성 떴다!”“진짜? 난 C급인데.......”“나는 ‘초열법사’. 이거 S급 적성이야. 개쩔지?”“좋은 거 같은데? 나도 S급 ‘금강역사’ 나왔다.”얼핏 들어도 잔뜩 들뜬 목소리가 귓속을 파고들었다.서우진이 우울한 눈으로 자신의 ‘상태창’을 확인했다.==================.."
망나니 검귀 스트리머 [독점], 무형문화재 본국검법(本國劍法)의 유일한 계승자.신가람.간판은 참 좋다. 문제는 돈이다.“무형문화재? 이름만 번지르르 한 백수 아니냐?”가람은 가난의 꼬리표를 때기 위해 스트리머 세계에 발을 들이게 된다.그런데 칼질 한 번에 모든 것이 잘려나간다?“뭐야? 이거 원래 이렇게 쉬운 거에요?”20년 동안 수련만 하고 살아온 검귀의 방송재능이 폭발한다.
디펜스 게임의 폭군이 되었다 [독점]," 타워디펜스&던전오펜스 RPG 누구도 클리어하지 못한 난이도로 게임의 엔딩을 봤다.그런데 정신을 차리니 게임 속이다.그것도 공략이 불가능한 튜토리얼 스테이지다.""반드시 클리어해 주마, 이 거지 같은 게임......!""그리고 나는, 포기하는 법을 모르는 플레이어다."
망겜의 시체줍는 천재전사," [초라한 용병의 시체를 회수했습니다. 능력을 계승합니다.][계승 보상 : 근력 +1, 기량 +1, 데하만의 갑주격투(D)]멸망이 다가오는 게임 속 세상.댈런은 자신이 플레이했던 캐릭터들의 시체를 찾아다니고 있다."
아카데미에서 살아남기, 즐겨 하던 게임의 삼류 엑스트라로 빙의했다.심지어 이미 몰락해서 퇴장한 상태다.야망은 없고 그냥 졸업장만 따고 싶다.근데 세상이 그렇게 놔두지를 않는다.
서포터가 다 해먹음 [독점]," 1,000명의 S급 영웅을 육성한 'S급 찍어내는 공장.'졸업생 제조기, 최강의 서포터.모두 나를 가리키는 단어들이다.그런데 여기가 게임 속 세상이라고?"
소설 속 엑스트라, 소설은 하나의 세계와 수십억의 등장인물이 존재한다.하지만 히로인이나 조력자 같은'비중 있는 조역'이라면 몰라도그 외의 모두에게 이름이 있을 리는 없다.“춘동아 너는 몇 위야?”나는 나를 모른다. 이름이 왜 춘동인지도 모르겠다.이 세상은 내가 쓴 소설.그러나 나는 내가 단 한 번도 쓰지 않은 인물이 되어 있다.요원사관학교에 입학했다는 것 말고는 평범하기 그지..
던전 견문록," 미궁에서 태어나 괴수의 젖을 먹고 자란 인류의 후손, 특별한 힘과 강인한 신체를 지닌 그들이 돌아왔을 때 인류는 그들을 가리켜 던전 베이비라 불렀다. 그중에서도 가장 깊은 미궁에서 태어난 김진우.""""강해지려고 한 적은 없어. 단지 난 살고싶었을 뿐이야.""""가장 비천한 토굴꾼에서 미궁의 왕까지, 지금 그의 일대기가 펼쳐진다."
이혼 후 빌런 각성, 착하게 살면 좋은 날이 올 줄만 알았다하지만 돌아오는 건 배신과 상처뿐이제는 빌런처럼 살련다
이세계 자본주의 네크로맨서, 네크로맨서가 이세계에 자본주의를 풀었다!
세상의 끝에서 클리어를 외치다," [제7회 대한민국 웹소설 공모대전 수상작]황무지 개인 생존 7년차 박교수.고갈된 자원. 고장난 발전기. 하루가 멀다하고 찾아오는 사이코 갱.삶의 기로에서, 최후의 선택을 하다!""씨발! 이것도 게임이라고 만들었냐!""게임 안에서!"
야매 힐러로 사는 법 [독점], 2020 지상최대공모전 수상작!힐 빼고 다 잘하는 힐러가 되었다.
