제목,요약
일검독존 [독점], * 이 작품은 青鸞鋒上의 소설 一劍獨尊(2018)을 한국어로 옮긴 것입니다. (옮긴이: 정현태)엽가의 세자였던 엽현. 수많은 전쟁에서 공적을 쌓았지만 그에게 돌아온 건 가문의 배신이었다. 이에 엽현은 단전마저 파괴되고 만다. 절망의 순간. 모친이 남긴 반지를 통해 엽현은 새로운 수련을 할 수 있는 신비로운 공간을 넘나들게 된다. 검으로 단전을 대신하는 신비..
칠대천마," 마교주의 주화입마를 고치지 못하면 대가는 목숨뿐.  하지만, 언제나 불행은 기회와 함께 찾아온다.천하제일의문 활선문 문주 소운, 천하를 재패하라!"
무명 식객 [독점]," 2020 지상최대공모전 수상작!세력 있는 세가에 얹혀 있으면서 문객 노릇을 하는 사람들을 일컫는, 식객. 거느린 식객의 수가 곧 무림세가의 능력을 판단하는 기준의 하나가 된 시대에서 우연히 지방의 한 세가에서 식객 생활을 시작하게 된 한 명의 무인에 의해 천하의 운명이 바뀌기 시작한다.구파일방과 오대세가도 분리되어 있지 않던 과거 전국시대를 배경으로 펼쳐질.."
무림서부, 무공이 실존하는 세상에 환생한 주인공.바다 너머의 땅은 그가 알던 세상이 맞을까.
도군 [독점]," *이 작품은 跃千愁의 소설 을 한국어로 옮긴 것입니다.누구도 찾지 못한 전대미문의 고대 유적을 발굴해내는 천재 고고학자, 도야! 그가 천재 고고학자라 불린 이유는 만물박사나 다름없는 그의 능력 때문.무공이면 무공, 글이면 글, 그림이면 그림, 박학다식한 고고학 지식에 술 제조, 폭탄 제조, 고대의 보물 재현 능력까지!그런데 과거의 문물을 .."
삼초살, 일 격에 즉사시킨다!  이 격에 확인한다!  삼 격에 영혼마저 말살시킨다!
무련전봉 [독점]," *이 작품은 莫默의 소설 武炼巅峰(2012)을 한국어로 옮긴 것입니다.""피를 바치면 금신이 강림하고, 신공이 성공하지 못하면 금신은 불멸한다""어느날 신비로운 힘을 품은 서책을 발견하게 된 예비 제자 양준!실력지상주의 문파 내에서 부족한 자질로 늘 무시당하던 그가 우연히 얻게 된 신비한 서책의 힘으로 새롭게 각성한다!그가 발견한 신비한 서책의 비밀은 무엇일까.."
21세기 반로환동전, 21세기 한국에서 무림의 도사가 구르는 이야기.
무검마도 [독점], “그 아이는 다른 아이들과 다르게 조금 특이하지요. 아픔을 느끼면서도 아프다는 말을 안 하고 기쁨을 알면서도 웃지 않습니다. 분명 슬픈 감정이 있을 텐데 슬퍼하지 않으며 화를 내야 했지만 화를 내지 않았지요.”“좀 어디 모자른 건 아니고?”“하하하! 그건 아닙니다. 그냥 아주 가끔 그런 아이가 있습니다. 어린 나이에 벌써 어른이 되어 버린 그런 아이가 말이..
하북팽가의 개망나니," ‘그러니까, 내가 지금 하북팽가의 개망나니로 환생했다는 거지?’‘딱이네, 나도 한 망나니 하거든.’하북팽가 제일의 망나니가, 하북팽가 개망나니로 환생했다!과연 하북팽가의 앞날은 어떻게 될 것인가?"
신협귀환 [독점], 혈겁.세상을 피로 물들였던 혈마의 재앙은 혜성처럼 등장한 신협이라 불리웠던 사내에 의해 그 막을 내렸다.그리고 백년....혈교의 잔당들은 파벌까지 나누어가며 여전히 세상을 어지럽히고 있다.그들을 척결하기 위해 만들어진 단체 척혈단.그리고 그 척혈단 소속의 염화대주 강휘.신협이 다시 귀환한다.“...내가 전생에 누구였든지 중요하지 않아.”세상에 다시 태동하는 신협의..
