제목,요약
"울어 봐, 빌어도 좋고 [독점]"," 헤르하르트가家의 걸작천국같은 아르비스의 젊은 주인아름다운 새의 학살자마티어스 폰 헤르하르트.그의 완벽한 삶을 송두리째집어삼키고, 무너뜨리고, 흔들어버린그의 아름다운 새레일라 르웰린.-날개를 자르고, 가두고, 길들였다.​레일라 르웰린을 잡아두기 위한 그 모든 행동들에 대해마티어스는 주저하지 않았다.주저하지 않았기에, 후회하지 않았다.후회하지 않았기에, 반성하.."
악당 가족이 독립을 반대한다 [독점]," 가족애 따위 없는 살벌한 악당 가문의 사생아가 되었다.연약한 몸에다 신경질적인 태도로 사용인을 못살게 굴던 엘로디가. ‘앞으로 3년 후, 언니가 입양될 거야.’ 정치적 도구로 입양했지만 사랑스러움으로 아빠는 물론이고 가문을 녹여 버릴 햇살 여주.언니가 등장하기 전까지 적당히 뒷돈 챙기다가 이 가문에서 독립하자! ......그랬는데. “독립? 그게 무슨 개소리지?”.."
시월드가 내게 집착한다 [독점]," 가족과 남편이 나를 죽였다. 고작 유산 때문에. 과거로 돌아온 나는 결심했다.‘내 목숨과 유산을 지켜야 해.’저주받은 가문의 라피레온 대공. 나는 재산과 여자에 관심 없는 그에게 일 년간의 계약 결혼을 제안했다.이제 무사히 이혼만 하면 되는데......“부인, 이제 와 날 떠날 수 있을 줄 알았어?”남편이 이상하다.“토지를 줄까, 아니면 광산을 줄까? 아니면 제국.."
아무래도 결혼을 잘못한 것 같다 [독점], 소설 속 세상에 빙의했다.등장인물들이 악역의 손에 죄다 목이 뎅겅 잘려 죽는 피폐 소설 속에.소심한 걸 고치고 담력을 키워보고자유명한 피폐 소설을 읽었을 뿐인데!본격적인 이야기가 시작되기 전에 무시무시한 수도 사교계에서 멀어져야 한다.그래서 시골의 가난한 남작과 결혼했는데.......“내 손으로 네 송장 치우게 하지 말라고. 알겠어?”결혼식에 피를 뒤집어쓰고 나타..
공녀님의 꽃밭에는 그들이 산다 [독점]," 정령왕의 인장 덕에 정령사의 자질을 갖고 태어났다. 부모님과 오라버니들은 한없는 애정을 퍼붓고, 기사단은 제발 호위로 뽑아달라며 졸졸 따라다니기 일쑤. 게다가...... “네 가벼운 바람은 내 간절한 염원이라는 것을 왜 몰라줄까.” 악마는 시선 한번 달라 애원하고, “좋은 황제가 되고 싶다. 네가 편안히 머무르는 것으로 족할 제국을 만드는 황제가.” 소꿉친구는 날.."
남편을 만렙으로 키우려 합니다 [독점]," 회귀했더니, 어려진 남편을 키우게 생겼다?비참한 결혼 생활도 억울한데 남편과 함께 처형당한 앰버.죽음의 순간, 그녀는 10년 전 칼릭스와 결혼한 첫날로 회귀한다.앰버는 무심했던 남편과 모진 시어머니를 회상하며 이전과 같은 차가운 결혼 생활을 이어 나가려 하는데.......어린 칼릭스는 앰버가 알던 것과 전혀 다른 사람이었다?“부인. 이렇게 저만 남겨 두고 잠들어 .."
"이러면 안 돼요, 전하! [독점]"," 제국 최강의 검, 로제타. 암살당한 황태자를 살리기 위해 무려 네 번을 회귀했다. 이번 생에는 호위기사가 아닌 하녀로 입궁하여, 힘을 숨긴 채 황태자를 살리고자 하는데....... “나를 원한다 했잖아.” 까칠하던 전하가 달라졌다. “전하의 안전을 원한다는 거였는데요.” “비슷한 의미지.” 그것도 아주, 위험한 모습으로. “그러니 잔말 말고 그 입 벌려, 로제.”.."
하녀와의 계약결혼 [독점], ......그렇군. 남자가 있었을 수 있겠군.그쪽이야말로 진짜 혼인이 아니었을 테니....... ‘그게’ 혼인이었던 건 나뿐이었다.그쪽에겐 혼인이 아니었다. 아서는 습관처럼 미소 지었다.왠지 머리가 뜨끈해지는 기분이었다. ―황실을 상대로 한 사기 결혼에 휘말리다.「하녀와의 계약 결혼」
"남색은 곤란해요, 황자님! [독점]"," 사촌 대신 남장을 한 채 적국의 황자님, 에스테반의 배동으로 보내진 솔타.어느새 그를 마음에 품게 된 솔타는 감히 사랑을 고백하지 못했다.그런데,“네가 여자인 걸 일찍 알았다면 진작 널 취했을 텐데. 이제 넌 내 것이다. 그게 싫다면 더 꼭꼭 숨겼어야지.”15년 동안 혼자만의 사랑이라고 생각했던 것이 무색하게 에스테반은 솔타를 향한 강한 소유욕을 드러낸다..."
문제적 왕자님 [독점]," 왕실의 독버섯, 이대로 괜찮은가.한때 온 레첸의 사랑을 받았던 왕세자였지만희대의 스캔들의 주인공이 된 대가로 왕관을 내려놓아야 했던왕실의 탕아.왕실의 독버섯.비에른 드나이스터.사기를 당해 망하기 일보직전인 하르디 가문의굴러 들어온 재산이 되어결혼 시장의 급매물로 내던져진에르나 하르디.-오늘내일 하는 늙은이의 재취자리 아니면구제불능 쓰레기의 아내가 될 처지인.."
야만의 청혼 [독점]," “아이를 가졌어요. 다른 남자의.” 대륙에서 가장 잔인한 용병대 수장의 청혼을 거절하기 위해 한 거짓말이었다. 그런데 대답은...... “누구 애든 상관없으니 낳아요. 대신 나는 공주님을 가질 테니.” 도무지 알 수가 없었다. 망해 가는 가난한 왕국의 공주에게, 이 남자는 대체 무얼 바라는 걸까."
